# Time-averaged data for fix aveP
# TimeStep c_pressure
146700 14.4306
147600 14.758
148500 14.2015
149400 13.7482
150300 14.6848
151200 12.6622
152100 14.717
153000 15.6118
153900 14.5582
154800 15.5009
155700 13.6928
156600 14.2304
157500 15.1431
158400 15.21
159300 16.7473
160200 16.0277
161100 13.9546
162000 16.2915
162900 13.803
163800 15.5523
164700 16.5167
165600 14.5486
166500 13.4632
167400 15.7006
168300 16.1587
169200 17.0971
170100 14.533
171000 13.6969
171900 15.1294
172800 14.7971
173700 14.9864
174600 16.3145
175500 14.2804
176400 14.3082
177300 13.2943
178200 14.5342
179100 14.3846
180000 13.4074
180900 13.587
181800 15.2606
182700 14.9381
183600 15.549
184500 14.6543
185400 14.1112
186300 14.0032
187200 14.3461
188100 13.7458
189000 13.6227
189900 14.4322
190800 14.4625
191700 14.0454
192600 13.6201
193500 15.0988
194400 16.9061
195300 15.4318
196200 14.9788
197100 14.256
198000 14.9956
198900 17.6265
199800 14.008
200700 14.7049
201600 15.5541
202500 15.9934
203400 14.0933
204300 13.9388
205200 17.4778
206100 15.8641
207000 13.0877
207900 15.2852
208800 15.4363
209700 14.9903
210600 14.307
211500 15.7977
212400 13.9255
213300 14.033
214200 14.635
215100 15.2754
216000 12.0092
216900 15.0517
217800 13.2668
218700 14.9401
219600 15.0269
220500 15.3097
221400 15.2662
222300 14.6555
223200 15.2133
224100 14.8384
225000 14.5551
225900 16.6842
226800 13.8557
227700 17.3805
228600 15.7574
229500 16.8992
230400 15.9803
231300 14.7164
232200 17.4443
233100 14.455
234000 14.511
234900 15.1417
235800 12.9237
236700 16.3302
237600 16.9638
238500 15.4007
239400 17.4152
240300 15.3469
241200 18.0616
242100 16.5878
243000 17.0092
243900 15.978
244800 15.8136
245700 15.1403
246600 16.9746
247500 17.8215
248400 14.5953
249300 15.5568
250200 16.1823
251100 16.8456
252000 18.9193
252900 15.9343
253800 17.4882
254700 16.385
255600 18.1334
256500 15.7388
257400 16.1862
258300 16.1987
259200 15.3747
260100 16.5221
261000 15.6984
261900 15.3457
262800 14.3932
263700 14.4935
264600 15.1066
265500 16.6739
266400 18.2275
267300 15.3765
268200 16.2318
269100 16.1271
270000 17.2762
270900 19.1575
271800 14.424
272700 18.0787
273600 16.7073
274500 18.3539
275400 18.7525
276300 15.113
277200 16.7539
278100 16.2254
279000 16.5119
279900 17.5258
280800 15.8313
281700 16.1507
282600 17.671
283500 17.9585
284400 17.0234
285300 17.6465
286200 16.3369
287100 15.7278
288000 17.2431
288900 16.71
289800 16.0132
290700 17.1134
291600 16.5228
292500 15.4873
293400 16.4904
294300 20.2012
295200 18.4242
296100 19.3423
297000 18.8177
297900 17.5512
298800 17.3695
299700 17.6639
300600 17.3535
301500 17.6468
302400 18.0754
303300 17.1335
304200 18.3285
305100 16.9501
306000 18.8152
306900 18.4182
307800 18.333
308700 20.3457
309600 18.0399
310500 17.3402
311400 19.488
312300 20.662
313200 17.7704
314100 18.1645
315000 19.555
315900 20.3363
316800 17.5018
317700 17.6782
318600 20.4183
319500 14.6589
320400 16.3392
321300 15.5693
322200 19.257
323100 16.3504
324000 14.3983
324900 20.5595
325800 17.0499
326700 17.4809
327600 18.31
328500 16.2253
329400 19.5487
330300 16.3221
331200 17.6803
332100 20.1928
333000 17.9245
333900 16.2926
334800 20.6748
335700 18.7917
336600 19.3849
337500 16.1516
338400 19.3804
339300 18.9604
340200 18.9915
341100 19.024
342000 17.5773
342900 17.9434
343800 21.0922
344700 18.3058
345600 19.8247
346500 18.8172
347400 17.4219
348300 19.7974
349200 16.0311
350100 19.5196
351000 19.4133
351900 19.7665
352800 15.3069
353700 16.6085
354600 18.4139
355500 17.7904
356400 20.0107
357300 16.9834
358200 20.4948
359100 17.4823
360000 20.9892
360900 18.7133
361800 18.8673
362700 19.6135
363600 22.09
364500 23.0527
365400 16.6933
366300 18.8094
367200 21.9885
368100 18.6557
369000 19.2493
369900 17.8202
370800 16.0431
371700 20.8513
372600 20.784
373500 21.0021
374400 15.7199
375300 18.1219
376200 17.5801
377100 19.5864
378000 18.4835
378900 20.7734
379800 18.3107
380700 18.4415
381600 19.4693
382500 19.7569
383400 22.6965
384300 19.1781
385200 19.5534
386100 22.928
387000 22.5354
387900 17.1047
388800 20.1787
389700 21.046
390600 21.6137
391500 15.5071
392400 20.6532
393300 21.4608
394200 15.9971
395100 18.4559
396000 18.2872
396900 19.6309
397800 19.3711
398700 16.5494
399600 17.4544
400500 19.9742
401400 22.4842
402300 18.3747
403200 23.1515
404100 21.0818
405000 21.2137
405900 20.2177
406800 23.3912
407700 22.6451
408600 20.4527
409500 23.9211
410400 20.0224
411300 18.6349
412200 19.8765
413100 21.4857
414000 21.3719
414900 21.399
415800 17.163
416700 20.3378
417600 22.4405
418500 18.4839
419400 21.5362
420300 21.2046
421200 21.6947
422100 21.3197
423000 23.9611
423900 22.7053
424800 20.824
425700 19.0339
426600 19.0028
427500 21.1797
428400 20.1516
429300 22.8661
430200 21.4931
431100 24.6999
432000 21.9531
432900 21.6626
433800 20.6071
434700 19.9549
435600 22.4052
436500 20.8919
437400 24.4356
438300 19.8644
439200 20.5465
440100 20.1944
441000 16.2008
441900 21.0873
442800 22.67
443700 27.4053
444600 22.2194
445500 18.2772
446400 22.2776
447300 23.5736
448200 22.4558
449100 23.4338
450000 19.2441
450900 23.1338
451800 17.1224
452700 20.9728
453600 22.5713
454500 19.3186
455400 20.9339
456300 20.7
457200 23.0479
458100 24.5613
459000 18.7864
459900 21.1712
460800 19.1365
461700 25.3551
462600 23.3446
463500 18.4183
464400 20.3393
465300 17.6676
466200 21.8387
467100 23.4813
468000 18.8862
468900 21.0054
469800 19.5917
470700 22.3861
471600 21.3951
472500 16.6621
473400 17.6385
474300 18.924
475200 21.3408
476100 20.1919
477000 21.3052
477900 21.8536
478800 25.2738
479700 23.042
480600 23.4759
481500 23.0311
482400 22.2363
483300 21.7854
484200 20.585
485100 23.8334
486000 22.508
486900 17.1188
487800 23.0854
488700 22.5792
489600 23.1452
490500 23.6773
491400 19.2073
492300 17.7141
493200 23.1679
494100 26.3409
495000 26.5166
495900 21.0567
496800 17.4783
497700 22.6906
498600 23.7655
499500 22.8806
500400 18.5824
501300 22.3457
502200 26.3146
503100 25.1583
504000 18.9908
504900 21.703
505800 17.3888
506700 22.347
507600 19.4729
508500 24.5779
509400 25.0683
510300 25.6852
511200 19.3547
512100 20.767
513000 20.5257
513900 21.3968
514800 25.1131
515700 24.3386
516600 21.213
517500 21.0776
518400 22.8465
519300 23.6635
520200 21.7523
521100 22.3269
522000 23.8052
522900 24.6662
523800 23.3309
524700 21.0088
525600 25.0651
526500 25.6562
527400 19.6012
528300 28.0853
529200 22.6355
530100 13.6418
531000 20.5493
531900 19.6999
532800 25.6446
533700 19.7944
534600 21.4756
535500 19.2044
536400 17.6976
537300 23.2409
538200 26.6176
539100 17.9385
540000 19.5928
540900 20.0422
541800 18.2293
542700 25.1208
543600 23.6161
544500 25.3228
545400 24.9923
546300 23.9826
547200 26.5518
548100 16.311
549000 22.0585
549900 20.3667
550800 21.0192
551700 23.0426
552600 23.8902
553500 22.9907
554400 28.1448
555300 26.4061
556200 26.0793
557100 17.7256
558000 24.2495
558900 27.8807
559800 22.7352
560700 22.1197
561600 23.5574
562500 22.685
563400 19.7461
564300 19.5931
565200 28.9729
566100 19.8524
567000 24.3049
567900 19.8705
568800 23.8539
569700 21.1234
570600 20.428
571500 18.2795
572400 22.8116
573300 21.7385
574200 21.8928
575100 24.7207
576000 20.6136
576900 18.6042
577800 23.8696
578700 20.3154
579600 27.2767
580500 18.9963
581400 20.2978
582300 23.5295
583200 20.033
584100 25.2715
585000 19.2694
585900 21.9716
586800 19.489
587700 21.3823
588600 23.8369
589500 23.3583
590400 28.0678
591300 19.9759
592200 25.3767
593100 21.399
594000 23.3847
594900 24.0745
595800 28.098
596700 28.9906
597600 22.9327
598500 25.2696
599400 32.8473
600300 17.1309
601200 25.6597
602100 16.1641
603000 15.4795
603900 25.9253
604800 24.2167
605700 26.7566
606600 27.8649
607500 16.4006
608400 13.3545
609300 17.4563
610200 21.7511
611100 27.11
612000 27.006
612900 23.1816
613800 19.3836
614700 21.4615
615600 25.5342
616500 22.1302
617400 17.1002
618300 17.8268
619200 21.4103
620100 23.3479
621000 9.6756
621900 19.8497
622800 26.2348
623700 21.2065
624600 24.5954
625500 19.6802
626400 27.6171
627300 18.9483
628200 24.7663
629100 25.1807
630000 18.6709
630900 19.0356
631800 24.601
632700 26.0492
633600 27.4683
634500 23.4529
635400 22.3488
636300 23.4691
637200 16.9875
638100 23.7122
639000 24.4991
639900 23.7545
640800 19.2168
641700 20.5512
642600 32.6632
643500 16.6814
644400 20.4831
645300 13.9855
646200 25.9311
647100 15.4498
648000 21.5591
648900 21.3009
649800 14.7945
650700 31.1542
651600 15.0632
652500 24.1018
653400 20.2265
654300 23.3606
655200 23.8926
656100 24.0152
657000 19.3866
657900 18.6263
658800 25.0065
659700 18.9608
660600 22.7968
661500 25.7145
662400 24.2808
663300 20.2967
664200 24.1294
665100 9.02262
666000 24.6996
666900 19.4346
667800 21.2626
668700 23.5511
669600 14.7463
670500 22.6241
671400 18.6323
672300 23.1741
673200 27.559
674100 25.3363
675000 24.2787
675900 34.5254
676800 25.0726
677700 26.0326
678600 16.5112
679500 21.6278
680400 21.4157
681300 24.9444
682200 27.7833
683100 18.9514
684000 21.4557
684900 21.9697
685800 10.5493
686700 20.2574
687600 22.3468
688500 32.4125
689400 15.943
690300 28.0623
691200 23.5757
692100 18.5037
693000 31.1268
693900 24.5227
694800 20.1802
695700 36.5529
696600 20.8498
697500 23.0537
698400 26.4632
699300 26.8054
700200 22.376
701100 23.4918
702000 14.6992
702900 28.9655
703800 24.5625
704700 18.5044
705600 18.2242
706500 25.4558
707400 22.6904
708300 32.9309
709200 25.4414
710100 26.5911
711000 28.6262
711900 26.3896
712800 28.8929
713700 15.5854
714600 22.8146
715500 25.1809
716400 26.5662
717300 29.9715
718200 13.6791
719100 14.1128
720000 23.9364
720900 19.4561
721800 27.5447
722700 13.3179
723600 22.2746
724500 15.8749
725400 40.0899
726300 27.2187
727200 12.8683
728100 15.5163
729000 31.5472
729900 23.9742
730800 20.977
731700 24.6761
732600 22.4809
733500 35.8388
734400 11.3259
735300 23.4487
736200 17.969
737100 9.07085
738000 22.7831
738900 27.0939
739800 19.8375
740700 25.9496
741600 22.0416
742500 11.3116
743400 33.4565
744300 8.27689
745200 13.4091
746100 21.6042
747000 13.1898
747900 29.0765
748800 4.55229
749700 17.7916
750600 23.6472
751500 29.9797
752400 25.1554
753300 9.59789
754200 29.0089
755100 7.60897
756000 17.0714
756900 23.6924
757800 10.6272
758700 15.2696
759600 22.8007
760500 29.6691
761400 23.9482
762300 10.1217
763200 4.13909
764100 18.6402
765000 22.9892
765900 32.8631
766800 0.315752
767700 24.7726
768600 12.7705
769500 11.4147
770400 8.87737
771300 11.5784
772200 13.5808
773100 17.1607
774000 18.0253
774900 29.5256
775800 7.89188
776700 10.0236
777600 22.9602
778500 2.29214
779400 20.799
780300 19.2206
781200 2.78558
782100 14.271
